count,time_s,lux,press,temp,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,MagX,MagY,MagZ
107,1.592787,83.202011,1011.587646,29.71875,0.503174,0.738953,1.616211,22.449945,-56.722176,95.086288,-15.645379,25.274078,-248.333908
108,1.605449,83.202011,1011.587646,29.71875,0.498779,0.823914,1.666992,13.477777,-58.187019,103.570175,-4.693614,30.012968,-274.075836
109,1.620196,83.202011,1011.597168,29.71875,0.532471,0.801453,1.650391,7.191156,-55.318367,108.269882,-4.693614,17.375929,-258.933533
110,1.632771,83.202011,1011.608154,29.71875,0.473877,0.798035,1.64209,15.797113,-46.773445,103.63121,-1.564538,26.853708,-274.075836
111,1.645424,83.202011,1011.608154,29.71875,0.471924,0.898621,1.694336,15.736078,-40.792,91.546249,14.080841,20.535187,-271.047363
112,1.660224,83.202011,1011.622314,29.71875,0.523193,0.855164,1.67334,26.417231,-19.612801,68.35289,0,12.637039,-269.533142
113,1.672817,83.202011,1011.61499,29.71875,0.518799,0.799988,1.692383,49.000237,-3.682625,64.56871,10.951765,23.694448,-277.104309
114,1.685449,83.202011,1011.61499,29.71875,0.473389,0.778503,1.716797,48.511955,11.332024,61.211777,4.693614,23.694448,-268.018921
115,1.698027,83.202011,1011.605469,29.71875,0.459229,0.76532,1.649902,46.680901,20.304192,65.301132,1.564538,33.172226,-258.933533
116,1.712742,83.202011,1011.578369,29.71875,0.532959,0.882019,1.621094,43.201897,16.703117,89.226913,0,22.114817,-251.362366
117,1.725336,83.202011,1011.601807,29.71875,0.460693,0.9328,1.658691,38.380119,11.087883,112.542343,-3.129076,28.433338,-260.447754
118,1.737971,83.202011,1011.588867,29.71875,0.479736,0.880066,1.707031,33.619377,16.336906,121.758652,-4.693614,26.853708,-258.933533
119,1.750608,83.202011,1011.606445,29.71875,0.526123,0.842957,1.728516,36.365959,12.369621,106.194687,0,25.274078,-254.390823
120,1.765301,83.202011,1011.621826,29.71875,0.50708,0.836609,1.628418,36.915276,-4.415047,83.062363,9.387227,25.274078,-245.30545
121,1.778031,51.577,1011.610107,29.703125,0.471924,0.85321,1.557129,38.319084,-13.997566,78.850937,7.82269,36.331486,-249.848145
122,1.790595,82.606979,1011.59668,29.703125,0.487061,0.84198,1.500488,37.098381,-13.753426,79.827499,4.693614,45.809269,-246.819672
123,1.803329,82.606979,1011.663818,29.703125,0.439697,0.859558,1.441895,31.055902,-13.265144,83.367538,6.258152,37.911118,-242.276993
124,1.818175,82.606979,1011.606201,29.703125,0.504639,0.878601,1.543457,21.839594,-13.204109,80.498886,15.645379,22.114817,-251.362366
125,1.862735,82.606979,1011.611084,29.703125,0.469971,0.876648,1.67041,-7.152105,2.05468,67.010117,-1.564538,30.012968,-246.819672
126,1.875393,82.606979,1011.628906,29.703125,0.503662,0.848328,1.653809,-0.682379,4.618156,67.193222,15.645379,25.274078,-236.220062
